Query,Dataset,Engine,GPUEnergy(J),CPUEnergy(J),TotalEnergy(J),CPUFraction(%),GPUInstrPerJoule(M/J)
TC,fe_body,GPULog,443,249,692,35.98,413.3
TC,fe_body,MNMGDatalog,348,402,750,53.60,274.4
TC,fe_body,cuDF,6814,6624,13438,49.29,185.3
TC,fe_body,BJoin,357,249,606,41.09,488.0
TC,fe_body,INLJoin,383,381,764,49.87,252.0
TC,sf,GPULog,273,201,474,42.41,364.1
TC,sf,MNMGDatalog,261,259,520,49.81,219.2
TC,sf,cuDF,4626,4703,9329,50.41,185.5
TC,sf,BJoin,272,213,485,43.92,365.1
TC,sf,INLJoin,265,275,540,50.93,217.4
TC,usroads,GPULog,5885,2754,8639,31.88,328.8
TC,usroads,MNMGDatalog,5091,5804,10895,53.27,233.0
TC,usroads,cuDF,,,,,
TC,usroads,BJoin,3821,1837,5658,32.47,496.6
TC,usroads,INLJoin,5052,5819,10871,53.53,236.3
TC,vsp,GPULog,6967,3387,10354,32.71,346.4
TC,vsp,MNMGDatalog,5325,6291,11616,54.16,242.7
TC,vsp,cuDF,,,,,
TC,vsp,BJoin,3890,1896,5786,32.77,515.6
TC,vsp,INLJoin,5493,6290,11783,53.38,235.5
SG,ca_hepth,GPULog,486,255,741,34.41,283.1
SG,ca_hepth,MNMGDatalog,147,107,254,42.13,408.8
SG,ca_hepth,cuDF,538,652,1190,54.79,243.5
SG,ca_hepth,BJoin,405,278,683,40.70,333.6
SG,ca_hepth,INLJoin,169,105,274,38.32,353.3
SG,fe_body,GPULog,1779,1000,2779,35.98,391.8
SG,fe_body,MNMGDatalog,932,793,1725,45.97,352.9
SG,fe_body,cuDF,,,,,
SG,fe_body,BJoin,1168,547,1715,31.90,587.6
SG,fe_body,INLJoin,975,792,1767,44.82,345.5
SG,fe_sphere,GPULog,816,451,1267,35.60,376.8
SG,fe_sphere,MNMGDatalog,426,356,782,45.52,332.6
SG,fe_sphere,cuDF,5908,5281,11189,47.20,188.8
SG,fe_sphere,BJoin,582,332,914,36.33,514.8
SG,fe_sphere,INLJoin,436,355,791,44.88,332.6
SG,loc-brightkite,GPULog,1147,555,1702,32.61,331.2
SG,loc-brightkite,MNMGDatalog,337,183,520,35.19,498.8
SG,loc-brightkite,cuDF,1303,1324,2627,50.40,254.7
SG,loc-brightkite,BJoin,897,487,1384,35.19,412.7
SG,loc-brightkite,INLJoin,340,182,522,34.87,488.5
